line_number,module,status,in_try_block,line
7644,src.assembled_core.execution.unified_paper_engine,OK,True,from src.assembled_core.execution.unified_paper_engine import UnifiedPaperEngine
7655,src.assembled_core.qa.adversarial_testing,ARCHIVED(archive\observability_graveyard_2026q2\qa\adversarial_testing.py),True,from src.assembled_core.qa.adversarial_testing import run_adversarial_audit
7662,src.assembled_core.qa.backtest_comparison,OK,True,"from src.assembled_core.qa.backtest_comparison import compare_backtests, BacktestComparisonReport"
7669,src.assembled_core.qa.backtest_engine,OK,True,from src.assembled_core.qa.backtest_engine import BacktestResult
7676,src.assembled_core.qa.e2e_integration,ARCHIVED(archive\observability_graveyard_2026q2\qa\e2e_integration.py),True,"from src.assembled_core.qa.e2e_integration import E2ETestResult, E2ESuiteResult"
7683,src.assembled_core.qa.event_study,OK,True,"from src.assembled_core.qa.event_study import build_event_window_prices, compute_event_returns"
7691,src.assembled_core.qa.numba_kernels,OK,True,from src.assembled_core.qa.numba_kernels import compute_mark_to_market_numba
7699,src.assembled_core.qa.parallel_grid,OK,True,"from src.assembled_core.qa.parallel_grid import run_grid_parallel, GridPoint"
7706,src.assembled_core.qa.regime_aware_wf,ARCHIVED(archive\observability_graveyard_2026q2\qa\regime_aware_wf.py),True,from src.assembled_core.qa.regime_aware_wf import RegimeWalkForwardResult
7713,src.assembled_core.accounting.broker_snapshot_importer,OK,True,from src.assembled_core.accounting.broker_snapshot_importer import import_broker_snapshot
7720,src.assembled_core.accounting.broker_snapshot_store,OK,True,from src.assembled_core.accounting.broker_snapshot_store import (
7730,src.assembled_core.accounting.evidence_index,OK,True,from src.assembled_core.accounting.evidence_index import write_evidence_index_json
7737,src.assembled_core.accounting.evidence_pack,OK,True,from src.assembled_core.accounting.evidence_pack import _sha256_bytes
7745,src.assembled_core.accounting.ledger_integration,OK,True,from src.assembled_core.accounting.ledger_integration import build_ledger_from_trades
7752,src.assembled_core.accounting.ledger_store,OK,True,"from src.assembled_core.accounting.ledger_store import ledger_base_path, list_ledger_runs"
7759,src.assembled_core.accounting.reconciliation_report,OK,True,from src.assembled_core.accounting.reconciliation_report import write_reconcile_report_json
7766,src.assembled_core.data.corporate_actions,OK,True,from src.assembled_core.data.corporate_actions import load_corporate_actions
7774,src.assembled_core.data.cost_model_policy,OK,True,from src.assembled_core.data.cost_model_policy import estimate_rebalance_cost_fraction
7781,src.assembled_core.data.insider_ingest,OK,True,from src.assembled_core.data.insider_ingest import load_insider_sample
7789,src.assembled_core.data.prices_ingest,OK,True,from src.assembled_core.data.prices_ingest import validate_price_data
7798,src.assembled_core.data.shipping_routes_ingest,OK,True,from src.assembled_core.data.shipping_routes_ingest import load_shipping_sample
7806,src.assembled_core.data.universe_etf,OK,True,"from src.assembled_core.data.universe_etf import load_etf_universe, get_all_symbols"
7815,src.assembled_core.ops.daily_scheduler,OK,True,from src.assembled_core.ops.daily_scheduler import WorkerResult
7822,src.assembled_core.ops.grafana_dashboards,ARCHIVED(archive\observability_graveyard_2026q2\ops\grafana_dashboards.py),True,from src.assembled_core.ops.grafana_dashboards import export_all_dashboards
7831,src.assembled_core.ops.inspect_data,OK,True,from src.assembled_core.ops.inspect_data import inspect_eod_prices
7839,src.assembled_core.ops.intel_activity_summary,OK,True,from src.assembled_core.ops.intel_activity_summary import _safe_int
7846,src.assembled_core.ops.intel_orchestrator,OK,True,from src.assembled_core.ops.intel_orchestrator import run_intel_pipelines
7853,src.assembled_core.ops.replay_snapshot,OK,True,from src.assembled_core.ops.replay_snapshot import RunSnapshot
7860,src.assembled_core.paper.georisk_gate,OK,True,from src.assembled_core.paper.georisk_gate import compute_georisk_multiplier
7868,src.assembled_core.paper.intel_context,OK,True,from src.assembled_core.paper.intel_context import active_shocks_from_triggers
7875,src.assembled_core.paper.intel_runner,OK,True,"from src.assembled_core.paper.intel_runner import compute_news_geo, _empty_news_geo"
7883,src.assembled_core.paper.paper_track,OK,True,from src.assembled_core.paper.paper_track import PaperTrackConfig
7891,src.assembled_core.paper.strategy_adapters,OK,True,from src.assembled_core.paper.strategy_adapters import generate_signals_and_targets_for_day
7898,src.assembled_core.reports.daily_qa_report,OK,True,from src.assembled_core.reports.daily_qa_report import generate_qa_report
